symbol,side,entry_price,exit_price,pnl_pct,hold_minutes,market_regime,trend,momentum,volatility,timestamp,date,time
BTCUSDT,short,70031.46333334,70040.0,-0.01,1,volatile,neutral,neutral,low,2026-03-11T03:55:53.484638,2026-03-11,03:55:53
BTCUSDT,short,69998.56,70005.7,-0.01,1,volatile,neutral,neutral,low,2026-03-11T04:04:07.747622,2026-03-11,04:04:07
BTCUSDT,short,70278.32666667,70100.0,0.25,1,volatile,neutral,neutral,low,2026-03-11T04:12:21.816966,2026-03-11,04:12:21
BTCUSDT,short,70175.3,70021.0,0.22,1,volatile,neutral,neutral,low,2026-03-11T04:18:31.760655,2026-03-11,04:18:31
BTCUSDT,short,70255.76666667,70175.1,0.11,1,volatile,neutral,neutral,low,2026-03-11T04:23:45.147432,2026-03-11,04:23:45
BTCUSDT,short,70265.13333334,70439.9,-0.25,1,volatile,neutral,neutral,low,2026-03-11T04:31:59.444728,2026-03-11,04:31:59
BTCUSDT,short,70274.48,70193.2,0.12,1,volatile,neutral,neutral,low,2026-03-11T04:39:15.792192,2026-03-11,04:39:15
BTCUSDT,short,70247.6125,70232.9,0.02,1,volatile,neutral,neutral,low,2026-03-11T04:53:57.490068,2026-03-11,04:53:57
BTCUSDT,short,70243.36666667,70240.1,0.0,1,volatile,neutral,neutral,low,2026-03-11T05:02:21.361759,2026-03-11,05:02:21
BTCUSDT,short,70271.75,70261.4,0.01,1,volatile,neutral,neutral,low,2026-03-11T05:08:34.316718,2026-03-11,05:08:34
BTCUSDT,short,70252.38571429,70069.6,0.26,1,volatile,neutral,neutral,low,2026-03-11T05:17:51.733813,2026-03-11,05:17:51
BTCUSDT,short,70116.71428571,69928.7,0.27,1,volatile,neutral,neutral,low,2026-03-11T05:24:02.053296,2026-03-11,05:24:02
BTCUSDT,short,69970.73333334,69896.8,0.11,1,volatile,neutral,neutral,low,2026-03-11T05:30:14.080838,2026-03-11,05:30:14
BTCUSDT,short,69888.33333333,69405.0,0.69,1,volatile,neutral,neutral,low,2026-03-11T05:40:31.692015,2026-03-11,05:40:31
BTCUSDT,short,69690.30666667,69584.3,0.15,1,volatile,neutral,neutral,low,2026-03-11T05:47:45.435631,2026-03-11,05:47:45
BTCUSDT,short,69642.9,69655.6,-0.02,1,volatile,neutral,neutral,low,2026-03-11T05:53:55.820025,2026-03-11,05:53:55
